dataset_name;percentage_altered
mnli_keyboard_0.01;0.9993875051041241
mnli_keyboard_0.05;0.9993875051041241
mnli_keyboard_0.1;0.9993875051041241
mnli_ocr_0.01;0.9981625153123724
mnli_ocr_0.05;0.9981625153123724
mnli_ocr_0.1;0.9981625153123724
mnli_spellingerror_0.01;0.9869334422213148
mnli_spellingerror_0.05;0.9883625969783585
mnli_spellingerror_0.1;0.9886688444262964
mnli_typos_0.01;0.9325234789710086
mnli_typos_0.05;0.9822376480195998
mnli_typos_0.1;0.9961208656594528
mnli_sne_0.1;0.19324213964883627
mnli_sne_0.2;0.19324213964883627
mnli_sne_0.3;0.19324213964883627
mnli_sswn_0.1;0.9931604736627194
mnli_sswn_0.2;0.9931604736627194
mnli_sswn_0.3;0.9931604736627194
mnli_contraction.0;0.10984075132707227
mnli_insertadv.0;0.9468150265414454
mnli_prejudice.0;0.005308289097590854
mnli_punctuation.0;1.0
mnli_reverseneg.0;0.8157411188240098
mnli_swapnum.0;0.038178848509595756
mnli_verbtense.0;0.6865046957942017
mnli_twitter.0;1.0
mnli_wordcase.0;0.9994895875867701
