dataset_name;percentage_altered
sst2_keyboard_0.01;1.0
sst2_keyboard_0.05;1.0
sst2_keyboard_0.1;1.0
sst2_ocr_0.01;1.0
sst2_ocr_0.05;1.0
sst2_ocr_0.1;1.0
sst2_spellingerror_0.01;0.99945085118067
sst2_spellingerror_0.05;0.99945085118067
sst2_spellingerror_0.1;0.99945085118067
sst2_typos_0.01;0.9989017023613399
sst2_typos_0.05;1.0
sst2_typos_0.1;0.99945085118067
sst2_sne_0.1;0.07413509060955518
sst2_sne_0.2;0.07413509060955518
sst2_sne_0.3;0.07413509060955518
sst2_sswn_0.1;0.9939593629873695
sst2_sswn_0.2;0.9939593629873695
sst2_sswn_0.3;0.9939593629873695
sst2_contraction.0;0.26963207029104885
sst2_insertadv.0;0.9066447007138935
sst2_prejudice.0;0.0
sst2_punctuation.0;1.0
sst2_reverseneg.0;0.8682042833607908
sst2_swapnum.0;0.04118616144975288
sst2_verbtense.0;0.71334431630972
sst2_twitter.0;1.0
sst2_wordcase.0;1.0
